State,Year,NO2 Mean,O3 Mean,SO2 Mean,CO Mean,SO2 AQI,CO AQI,O3 AQI,NO2 AQI,Year Average
Florida,2013,0.004545726870422531,0.0260271661971831,-2.5211738028169004e-05,0.2984957070422536,0.30985915492957744,4.059154929577465,34.816901408450704,11.44225352112676,0.08226084709295776
Florida,2014,0.0049794516055555555,0.026022286111111105,0.00011150281111111114,0.45852593611111153,0.7305555555555555,5.988888888888889,35.43055555555556,12.141666666666667,0.12240979415972232
Florida,2015,0.004109642247863247,0.025707592592592584,3.669347578347579e-05,0.5143764102564105,0.46438746438746437,6.467236467236467,34.08262108262108,9.618233618233619,0.13605758464316245
Florida,2016,0.0054928689560439555,0.029212923076923074,0.0003988014835164837,0.5745394945054945,0.8131868131868132,7.406593406593407,36.86813186813187,13.857142857142858,0.1524110220054945
Georgia,2010,0.016500656434782615,0.016583521739130438,0.0011592508478260868,0.3964716847826085,5.260869565217392,6.793478260869565,28.054347826086957,30.73913043478261,0.10767877845108692
Georgia,2011,0.013381185286501389,0.022986242424242433,0.0009014650826446274,0.33157815702479365,4.862258953168044,5.429752066115703,38.32506887052342,29.140495867768596,0.09221176245454553
Georgia,2012,0.01158765788705234,0.0220067961432507,0.0004499816446280992,0.33027547933884305,1.5261707988980717,5.476584022038567,35.72176308539945,25.082644628099175,0.09107997875344355
Georgia,2013,0.009439669561959648,0.019709374639769454,0.0003313421959654182,0.2974941613832853,0.7348703170028819,4.8097982708933715,32.242074927953894,20.596541786743515,0.08174363694524496
Georgia,2014,0.010429543384831465,0.020054216292134826,0.0003708036882022473,0.31320289606741614,0.6882022471910112,5.106741573033708,34.997191011235955,22.769662921348313,0.08601436485814618
Georgia,2015,0.00967300324277457,0.019226491329479754,0.00026345294797687914,0.3136160491329481,0.3554913294797688,5.130057803468208,33.47687861271676,20.933526011560694,0.08569474916329482
Georgia,2016,0.011935326111111113,0.019770380952380952,0.0002980542063492064,0.3152400158730158,0.5555555555555556,5.253968253968254,29.634920634920636,25.333333333333332,0.08681094428571427
