Year,State,SO2 AQI,CO AQI,O3 AQI,NO2 AQI,State Average
2006,South Carolina,7.195402298850575,1.8477011494252873,42.054597701149426,5.224137931034483,14.080459770114944
2006,Texas,7.889516635279347,5.097300690521029,36.9504080351538,27.89265536723164,19.457470182046453
2006,Virginia,13.27773212818406,6.557107641741989,37.191454396055875,24.23089564502876,20.31429745275267
2006,Wisconsin,8.39080459770115,5.379310344827586,28.120689655172413,26.152298850574713,17.010775862068964
2007,Arizona,4.35078125,9.6578125,37.375,36.42734375,21.952734375
2007,Arkansas,6.447802197802198,8.39010989010989,34.94505494505494,22.88736263736264,18.167582417582416
2007,California,3.9398942484083306,6.7350814718895,34.51548505449444,23.681989856479984,17.218112657818065
2007,Colorado,12.527977044476327,9.407460545193688,31.203730272596843,41.503586800573885,23.660688665710186
2007,Connecticut,7.263940520446097,4.533457249070632,43.13382899628253,26.345724907063197,20.319237918215613
2007,Country Of Mexico,7.1571428571428575,17.45,34.107142857142854,37.54047619047619,24.063690476190473
2007,District Of Columbia,16.548961424332344,15.765578635014837,40.55192878338279,29.10385756676558,25.49258160237389
2007,Florida,4.3401920438957475,3.9766803840877913,37.997256515775035,14.133058984910837,15.111796982167354
2007,Illinois,9.41405082212257,5.0926756352765326,32.67414050822123,27.376681614349774,18.639387144992526
2007,Indiana,15.960227272727273,6.386363636363637,46.94318181818182,23.210227272727273,23.125
2007,Iowa,2.084398976982097,3.7161125319693094,34.588235294117645,15.39386189258312,13.945652173913043
2007,Kansas,13.572602739726028,6.857534246575343,31.427397260273974,27.10958904109589,19.741780821917807
2007,Louisiana,13.298591549295775,5.833802816901408,33.15211267605634,27.952112676056338,20.059154929577467
2007,Maine,3.2164383561643834,2.1013698630136988,28.293150684931508,6.438356164383562,10.012328767123288
2007,Maryland,17.27409638554217,5.697289156626506,37.42319277108434,24.941265060240966,21.333960843373497
2007,Massachusetts,9.787292817679559,5.759668508287293,24.058011049723756,30.88950276243094,17.623618784530386
2007,Michigan,9.0,3.0,18.0,13.0,10.75
2007,Missouri,19.981042654028435,6.8246445497630335,48.37440758293839,27.938388625592417,25.779620853080566
2007,New Hampshire,10.277173913043478,6.304347826086956,36.69021739130435,15.777173913043478,17.262228260869566
2007,New Jersey,13.997191011235955,4.865168539325842,35.71067415730337,30.60112359550562,21.293539325842698
2007,New York,14.676470588235293,5.492156862745098,31.629411764705882,31.312418300653594,20.777614379084966
2007,North Carolina,18.11707988980716,6.356749311294766,46.95730027548209,28.768595041322314,25.049931129476583
2007,Oklahoma,3.652173913043478,4.0,35.71557971014493,17.168478260869566,15.134057971014492
2007,Oregon,2.277056277056277,6.333333333333333,23.346320346320347,19.207792207792206,12.791125541125542
2007,Pennsylvania,19.60305958132045,3.7214170692431563,43.707729468599034,23.763016639828233,22.69880568974772
2007,South Carolina,4.742574257425742,1.7722772277227723,37.29042904290429,5.079207920792079,12.221122112211221
2007,Texas,5.8424304840370755,4.288362512873326,34.03347064881565,25.855303810504633,17.504891864057672
2007,Virginia,14.02865329512894,6.018147086914995,42.046800382043934,23.469914040114613,21.39087870105062
2007,Wisconsin,7.032258064516129,3.774193548387097,18.35483870967742,26.322580645161292,13.870967741935484
2007,Wyoming,1.2880886426592797,2.2493074792243766,41.57617728531856,6.094182825484765,12.801939058171744
2008,Arizona,4.1492418196328815,7.874700718276137,38.68156424581006,35.94173982442139,21.661811652035116
2008,Arkansas,4.527322404371585,6.459016393442623,32.35792349726776,19.838797814207652,15.795765027322405
2008,California,3.5504873294346977,6.336744639376218,36.65428849902534,23.721832358674465,17.56583820662768
2008,Colorado,11.164383561643836,7.501369863013698,38.01917808219178,38.673972602739724,23.83972602739726
2008,Connecticut,4.483935742971887,4.969879518072289,37.144578313253014,22.393574297188756,17.247991967871485
2008,Country Of Mexico,5.380710659898477,17.776649746192895,32.119289340101524,39.80456852791878,23.77030456852792
2008,District Of Columbia,15.044444444444444,15.927777777777777,36.17777777777778,32.227777777777774,24.844444444444445
2008,Florida,3.9546875,3.0875,36.0203125,12.6734375,13.933984375
2008,Illinois,8.782750203417413,4.242473555736371,28.50040683482506,27.213995117982098,17.184906427990235
2008,Indiana,8.048913043478262,6.065217391304348,37.86413043478261,20.684782608695652,18.16576086956522
2008,Iowa,1.6323529411764706,3.676470588235294,33.20343137254902,15.769607843137255,13.57046568627451
2008,Kansas,13.342939481268012,6.334293948126801,27.755043227665706,28.654178674351584,19.021613832853024
2008,Louisiana,14.431372549019608,4.677871148459384,30.747899159663866,26.18487394957983,19.010504201680675
2008,Maine,4.747311827956989,2.4068100358422937,27.10931899641577,11.770609318996415,11.508512544802867
2008,Maryland,14.1,6.106521739130435,33.37826086956522,25.15,19.68369565217391
2008,Massachusetts,7.263013698630137,3.0,25.26027397260274,30.827397260273973,16.587671232876712
2008,Missouri,17.530232558139534,6.223255813953489,38.85116279069767,25.21395348837209,21.954651162790697
2008,New Hampshire,8.126373626373626,6.763736263736264,33.57692307692308,14.73076923076923,15.799450549450551
2008,New Jersey,12.335820895522389,3.705223880597015,37.615671641791046,29.865671641791046,20.88059701492537
2008,New York,13.827777777777778,4.936111111111111,32.34930555555555,28.896527777777777,20.002430555555556
2008,North Carolina,13.451790633608816,5.238292011019284,40.7465564738292,23.34435261707989,20.695247933884296
2008,North Dakota,0.42565597667638483,2.1778425655976674,28.807580174927114,13.9533527696793,11.341107871720117
2008,Oklahoma,2.871060171919771,2.530085959885387,33.713467048710605,13.257879656160458,13.093123209169054
2008,Oregon,2.6798780487804876,6.103658536585366,24.213414634146343,19.432926829268293,13.107469512195124
2008,Pennsylvania,15.40140661630633,2.93670226621516,39.29851523834332,22.032821047147696,19.917361292003125
2008,South Carolina,5.436532507739938,1.6006191950464397,36.13312693498452,4.43343653250774,11.900928792569658
2008,Tennessee,4.681818181818182,2.5568181818181817,35.14772727272727,2.5113636363636362,11.224431818181818
2008,Texas,5.053225806451613,3.8608870967741935,32.88346774193548,22.052822580645163,15.962600806451613
2008,Virginia,10.53069719042664,5.036420395421436,37.32882414151925,20.95109261186264,18.46175858480749
2008,Wyoming,0.572347266881029,1.3086816720257235,39.508038585209,6.762057877813505,12.037781350482314
2009,Arizona,3.201399688958009,7.572317262830482,37.11508553654743,33.80248833592535,20.42282270606532
2009,Arkansas,4.463013698630137,6.2465753424657535,31.69041095890411,18.84931506849315,15.312328767123287
2009,California,2.836404243439419,6.438860971524288,35.32071468453378,22.89424902289224,16.872557230597433
2009,Colorado,10.121875,6.515625,38.8,30.61875,21.5140625
2009,Connecticut,5.227596017069701,4.601706970128022,31.2972972972973,21.733997155049785,15.715149359886203
2009,Country Of Mexico,11.218181818181819,21.87272727272727,26.181818181818183,42.945454545454545,25.554545454545455
2009,District Of Columbia,12.56353591160221,11.92817679558011,30.223756906077348,31.38121546961326,21.524171270718234
2009,Florida,1.2614942528735633,4.735632183908046,35.33620689655172,13.583333333333334,13.729166666666666
2009,Idaho,1.1081081081081081,2.189189189189189,44.810810810810814,22.0,17.527027027027028
2009,Illinois,6.052034689793196,4.053368912608406,26.94196130753836,25.823882588392262,15.717811874583056
2009,Indiana,7.836158192090395,3.5819209039548023,34.429378531073446,20.073446327683616,16.480225988700564
2009,Iowa,1.1979949874686717,3.380952380952381,32.097744360902254,15.192982456140351,12.967418546365915
2009,Kansas,14.491228070175438,5.315789473684211,29.301169590643276,24.42105263157895,18.382309941520468
2009,Louisiana,10.32409972299169,3.3240997229916895,30.49584487534626,25.473684210526315,17.40443213296399
2009,Maine,5.95475113122172,3.018099547511312,26.019607843137255,13.512820512820513,12.1263197586727
2009,Maryland,12.595611285266457,7.2507836990595615,32.86520376175549,23.567398119122256,19.06974921630094
2009,Massachusetts,6.43213296398892,4.678670360110804,24.97229916897507,28.562326869806093,16.161357340720222
2009,New Hampshire,8.408239700374532,5.812734082397004,27.213483146067414,15.655430711610487,14.272471910112358
2009,New York,9.503680981595092,3.583435582822086,30.33312883435583,22.937423312883435,16.58941717791411
2009,North Carolina,4.011428571428572,4.972857142857142,34.934285714285714,21.048571428571428,16.24178571428571
2009,North Dakota,0.6703601108033241,2.063711911357341,28.518005540166204,12.939058171745152,11.047783933518005
2009,Ohio,14.050898203592814,4.2395209580838324,34.23053892215569,10.326347305389222,15.711826347305388
2009,Oklahoma,3.1471215351812365,3.588486140724947,34.801705756929636,13.191897654584222,13.68230277185501
2009,Oregon,3.250720461095101,5.815561959654179,24.659942363112393,18.579250720461093,13.076368876080693
2009,Pennsylvania,12.755555555555556,3.743888888888889,34.01111111111111,20.411666666666665,17.730555555555554
2009,South Carolina,3.1453287197231834,0.8166089965397924,32.2560553633218,3.7889273356401385,10.001730103806228
2009,Tennessee,1.9430379746835442,1.889240506329114,38.110759493670884,1.4841772151898733,10.856803797468354
2009,Texas,3.8922628951747087,3.4646422628951745,31.482945091514143,18.447171381031612,14.32175540765391
2009,Virginia,11.200698080279231,4.837696335078534,31.994764397905758,24.11692844677138,18.037521815008727
2010,Arizona,3.0558490566037735,6.652075471698113,37.817358490566036,31.996981132075472,19.88056603773585
2010,Arkansas,3.011111111111111,6.486111111111111,36.015277777777776,21.80902777777778,16.830381944444444
2010,California,2.085628382441371,5.5374624173181,33.541190619362595,21.953337342152736,15.7794046903187
2010,Colorado,7.59433962264151,6.679245283018868,32.60849056603774,31.235849056603772,19.52948113207547
